BOOKINGHISTORY,EMAIL,ISADMIN,MOBILENO,NAME,PASSWORD,USERNAME
movieTitleCinemaIDyyyyMMddHHmm,user@email.com,FALSE,99999999,John,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,John
YourName1202211061230 One Piece Film: Red2202211131126,cino@gmail.com,FALSE,92124022,cino,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,cino
Shazam!2202210091145,johnathan02@hotmail.com,FALSE,92748314,Johnathan,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Johnathan
TheDarkKnight3202209081350,emilychan@gmail.com,FALSE,82357364,Emily,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Emily
Deadpool22202208121400,ushi@hotmail.com,FALSE,92748375,Ushi,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Ushi
Avengers:Endgame1202209091649,cinderlee89@gmail.com,FALSE,84329574,Cinder,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Cinder
MenInBlack32202210231805,pingjiatan3434@gmail.com,FALSE,94387589,PingJia,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,PingJia
YourName1202210301530,joannewan87@hotmail.com,FALSE,93486742,Joanne,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Joanne
TheNun3202112031245,lowshunying@gmail.com,FALSE,85749385,ShunYing,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,ShunYing
TheNun1202203201430,evangeline@hotmail.com,FALSE,95879795,Evangeline,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Evangeline
OnePieceFilm:Red2202204131750,luffyD@hotmail.com,FALSE,87968547,Luffy,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Luffy
Deadpool21202112031410,ryanrenolds@gmail.com,FALSE,95876845,Ryan,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Ryan
,admin@admin.com,TRUE,96669999,admin,48d2a5bbcf422ccd1b69e2a82fb90bafb52384953e77e304bef856084be052b6,admin
